"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Bob Friend","51.6","-9.3","1.0","-8.3","547.1","60.0","","1004355"
"Babe Adams","61.7","11.7","-0.6","11.1","457.1","50.6","","1000041"
"Wilbur Cooper","57.0","5.8","7.9","13.6","395.3","43.3","","1002602"
"Deacon Phillippe","42.6","3.3","1.1","4.4","347.9","38.3","","1010287"
"Bob Veale","32.0","-4.5","1.5","-3.0","295.3","35.0","","1013391"
"Vern Law","31.7","-2.3","1.5","-0.8","302.4","32.5","","1007410"
"Sam Leever","52.6","12.0","8.2","20.2","310.0","32.4","","1007470"
"John Candelaria","36.5","5.0","3.8","8.7","249.4","27.8","","1001909"
"Dock Ellis","20.6","-1.1","-3.5","-4.6","218.9","25.2","","1003747"
"Ray Kremer","36.2","9.9","2.2","12.1","247.9","24.1","","1007156"
"Rick Rhoden","22.1","-5.2","3.4","-1.8","213.2","23.9","","1010887"
"Jesse Tannehill","32.3","2.5","6.4","8.9","241.9","23.4","","1012822"
"Ed Morris","36.8","5.8","9.3","15.1","247.6","21.8","","1009204"
"Howie Camnitz","27.4","4.4","1.5","5.9","191.3","21.5","","1001866"
"Rip Sewell","25.9","6.3","-1.7","4.6","198.1","21.3","","1011768"
"Bob Moose","13.5","-6.4","-1.4","-7.8","180.7","21.2","","1009134"
"Frank Killen","23.6","2.1","0.8","2.9","257.4","20.7","","1006904"
"Lee Meadows","21.7","1.0","0.2","1.2","203.1","20.5","","1008705"
"Doug Drabek","27.6","4.8","2.5","7.3","182.9","20.3","","1003473"
"Larry French","22.1","2.1","0.2","2.3","200.0","19.8","","1004338"
"Johnny Morrison","25.2","5.7","0.6","6.3","189.0","18.8","","1009217"
"Cy Blanton","16.6","1.4","-2.8","-1.4","174.2","17.9","","1001055"
"Bill Swift","19.0","7.1","-4.8","2.3","165.8","16.7","","1012787"
"Vic Willis","26.3","4.0","6.4","10.4","132.4","15.8","","1014042"
"Gerrit Cole","12.7","-2.6","-0.2","-2.7","141.2","15.4","$121.2","13125"
"Max Butcher","17.3","-1.4","3.3","1.9","142.1","15.4","","1001763"
"Jim Rooker","20.3","5.1","-0.1","5.0","139.8","15.3","","1011183"
"Murry Dickson","16.2","-0.3","1.2","0.9","149.4","15.3","","1003282"
"Pud Galvin","23.8","0.2","8.4","8.6","182.3","15.2","","1004469"
"Lefty Leifield","25.5","3.9","6.9","10.8","133.0","14.7","","1007494"
"Paul Maholm","12.1","-4.2","1.6","-2.6","144.7","14.7","$90.7","8678"
"Jerry Reuss","13.1","-1.6","0.3","-1.3","130.4","14.4","","1010853"
"Bruce Kison","12.0","3.3","-5.4","-2.1","127.6","14.1","","1006978"
"Steve Blass","16.0","-1.1","3.5","2.3","115.8","13.6","","1001058"
"Pink Hawley","21.8","5.8","2.4","8.2","171.2","13.6","","1005517"
"Zane Smith","12.8","-0.2","0.1","-0.1","118.5","13.0","","1012218"
"Bob Klinger","8.1","-3.4","-1.2","-4.7","120.1","12.8","","1007007"
"Bert Blyleven","11.2","-1.7","0.5","-1.2","110.4","12.5","","1001098"
"Zach Duke","8.4","-7.2","3.4","-3.9","121.6","12.3","$68.3","3840"
"Kris Benson","9.4","-1.1","-1.6","-2.7","123.7","12.1","$20.3","982"
"Red Ehret","11.9","2.5","-2.5","0.0","150.5","11.9","","1003708"
"Joe Gibbon","8.0","-1.7","-1.9","-3.6","104.1","11.6","","1004658"
"Harvey Haddix","9.8","-0.3","-1.4","-1.7","107.4","11.6","","1005184"
"Burleigh Grimes","10.9","4.1","-4.7","-0.6","114.8","11.5","","1005061"
"Fritz Ostermueller","12.8","1.9","-0.4","1.5","105.1","11.4","","1009883"
"Nick Strincevich","9.7","0.1","-1.7","-1.6","102.2","11.3","","1012622"
"Preacher Roe","8.9","-2.3","0.0","-2.3","100.6","11.3","","1011122"
"Rick Reuschel","12.7","1.6","-0.1","1.5","101.1","11.2","","1010852"
"Francisco Cordova","12.1","0.5","0.4","0.9","111.9","11.2","","1002623"
"Earl Hamilton","13.6","2.2","0.4","2.5","105.9","11.1","","1005273"
"John Smiley","10.9","1.6","-1.6","0.0","97.9","10.9","","1012084"
"Jason Schmidt","9.5","-1.6","0.2","-1.4","110.6","10.8","","1131"
"Bob Walk","10.2","2.0","-2.4","-0.4","97.2","10.6","","1013507"
"Jack Chesbro","18.8","5.0","3.5","8.5","103.7","10.3","","1002179"
"Larry McWilliams","9.5","-0.5","-0.3","-0.8","91.9","10.3","","1008700"
"A.J. Burnett","8.8","-2.1","0.9","-1.2","90.6","10.0","$72.5","512"
"Jon Lieber","4.6","-2.8","-2.4","-5.2","97.3","9.8","","287"
"Frank Miller","9.3","2.8","-3.1","-0.4","79.7","9.7","","1008897"
"Jameson Taillon","9.1","-1.5","1.1","-0.4","90.5","9.5","$76.3","11674"
"Heinie Meine","10.5","1.8","-0.8","1.0","98.0","9.5","","1008731"
"Denny Neagle","9.9","-1.3","2.0","0.7","89.8","9.2","","441"
"Ron Kline","11.8","0.0","2.9","2.9","86.2","8.9","","1007004"
"Don Robinson","5.9","-1.1","-1.7","-2.8","78.9","8.7","","1011061"
"Luke Walker","7.2","-1.2","-0.3","-1.5","77.4","8.7","","1013525"
"Todd Ritchie","7.2","0.9","-2.3","-1.4","89.3","8.6","","253"
"Randy Tomlin","7.9","-1.6","0.9","-0.7","78.0","8.6","","1013111"
"Ian Snell","5.5","-4.6","1.5","-3.1","87.0","8.6","$48.4","2227"
"Hal Carlson","7.7","-1.6","0.9","-0.8","76.9","8.5","","1001961"
"Claude Hendrix","11.8","2.2","1.2","3.4","80.9","8.4","","1005638"
"Carmen Hill","13.2","5.4","-0.2","5.2","78.8","8.0","","1005809"
"Waite Hoyt","9.8","0.9","1.1","1.9","78.6","7.9","","1006115"
"Cliff Chambers","5.0","-1.1","-1.8","-2.8","76.6","7.8","","1002120"
"Francisco Liriano","7.4","0.7","-1.1","-0.4","70.2","7.8","$59.9","3201"
"Jose DeLeon","4.9","1.4","-4.1","-2.7","66.1","7.6","","1003168"
"Nelson Briles","8.0","1.6","-1.0","0.6","64.9","7.4","","1001432"
"Red Lucas","11.0","2.6","1.0","3.6","75.3","7.4","","1007808"
"Jim Weaver","6.0","0.9","-2.3","-1.4","74.6","7.4","","1013699"
"Charlie Morton","1.4","-4.1","-1.9","-6.0","68.9","7.3","$53.7","4676"
"Bob Harmon","8.6","1.4","-0.1","1.3","62.7","7.3","","1005371"
"Russ Bauers","8.5","2.1","-0.9","1.3","70.6","7.2","","1000681"
"Vic Aldridge","9.7","1.9","0.6","2.5","73.8","7.2","","1000118"
"Erv Brame","7.0","1.9","-2.0","-0.1","77.8","7.0","","1001338"
"Kip Wells","9.2","0.9","1.4","2.3","69.7","6.9","$28.8","1012"
"Jim Bibby","8.2","2.2","-0.8","1.4","59.5","6.8","","1000945"
"Joe Musgrove","3.4","-0.7","-2.4","-3.1","63.4","6.5","$52.1","12970"
"Mace Brown","5.2","-2.4","1.1","-1.2","62.9","6.4","","1001541"
"Ralph Birkofer","3.0","-1.2","-2.2","-3.4","63.9","6.4","","1000982"
"Bill Werle","3.6","-2.3","-0.4","-2.7","62.4","6.4","","1013786"
"Denny Driscoll","7.5","-1.0","2.2","1.1","72.5","6.4","","1003503"
"Mark Baldwin","5.1","1.0","-2.3","-1.3","73.2","6.4","","1000484"
"Emil Yde","9.0","2.8","-0.2","2.6","64.7","6.4","","1014328"
"George McQuillan","5.7","-2.3","1.8","-0.5","54.7","6.2","","1008682"
"Whitey Glazner","6.9","0.9","0.0","0.9","60.4","6.1","","1004763"
"Harry Staley","5.1","0.8","-1.5","-0.8","71.2","5.9","","1012389"
"Trevor Williams","6.3","1.0","-0.4","0.6","55.2","5.7","$45.9","16977"
"Al Mamaux","8.5","2.1","0.6","2.8","48.0","5.7","","1008049"
"Jim Tobin","5.3","-0.8","0.4","-0.4","56.4","5.7","","1013089"
"Earl Francis","3.0","-1.7","-1.0","-2.6","52.2","5.6","","1004289"
"Ken Heintzelman","3.3","-4.5","2.2","-2.3","53.0","5.6","","1005596"
"Bob Purkey","1.6","-2.1","-1.8","-3.9","51.9","5.4","","1010572"
"Ivan Nova","5.1","-0.2","-0.1","-0.3","51.7","5.4","$42.9","1994"
"Nick Maddox","9.8","3.5","1.0","4.5","45.0","5.3","","1007950"
"Paul Wagner","3.3","-1.9","0.0","-1.9","52.0","5.2","","1013490"
"Al McBean","2.9","-3.3","1.2","-2.1","44.9","5.0","","1008337"
"Harry Salisbury","3.6","0.1","-1.4","-1.3","52.8","4.9","","1011382"
"Hank Robinson","8.7","2.6","1.3","3.9","45.6","4.8","","1011067"
"Joe Bowman","2.0","-2.4","-0.3","-2.7","47.6","4.8","","1001269"
"Steve Cooke","4.8","-0.8","1.1","0.3","45.5","4.6","","1002570"
"Tommie Sisk","5.1","0.2","0.4","0.6","39.3","4.5","","1012018"
"Silver King","2.8","-0.3","-1.3","-1.6","51.7","4.5","","1006943"
"Tiny Bonham","5.6","0.7","0.7","1.3","42.1","4.3","","1001166"
"Jeff Karstens","4.5","0.9","-0.7","0.2","40.9","4.3","$28.6","5879"
"Ad Gumbert","2.5","-2.3","0.7","-1.6","58.4","4.2","","1005139"
"James McDonald","3.9","0.2","-0.5","-0.3","38.9","4.2","$27.2","5523"
"Esteban Loaiza","2.9","-1.8","0.5","-1.3","41.2","4.1","","1310"
"Oliver Perez","4.0","0.1","-0.3","-0.1","39.0","4.1","$16.8","1514"
"Jimmy Anderson","2.4","-0.8","-0.9","-1.7","42.7","4.1","($1.4)","977"
"Steve Swetonic","8.4","4.3","0.2","4.5","43.0","4.0","","1012785"
"Ed Doheny","6.6","3.0","-0.3","2.7","38.7","3.9","","1003356"
"Don Cardwell","5.8","2.4","-0.4","1.9","34.8","3.9","","1001941"
"Jim Gardner","3.0","0.2","-1.0","-0.8","44.9","3.8","","1004527"
"Mike Lynch","5.2","0.2","1.3","1.5","33.9","3.8","","1007867"
"Jim Bunning","1.4","-1.7","-0.5","-2.2","31.1","3.7","","1001653"
