"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Walter Johnson","156.3","29.6","9.5","39.2","1016.8","117.1","","1006511"
"Bert Blyleven","53.4","-4.5","2.3","-2.2","485.6","55.7","","1001098"
"Jim Kaat","40.6","-9.4","-3.3","-12.7","472.0","53.3","","1006660"
"Camilo Pascual","36.8","-5.3","-5.6","-10.8","433.1","47.7","","1010039"
"Brad Radke","45.4","3.8","3.0","6.8","395.7","38.6","$59.0","748"
"Dutch Leonard","29.5","1.7","-5.3","-3.7","315.1","33.2","","1007533"
"Johan Santana","35.8","8.0","-1.2","6.8","276.3","29.0","$135.2","755"
"Dave Goltz","25.5","-3.6","1.9","-1.7","251.2","27.2","","1004818"
"Frank Viola","30.9","-1.0","5.8","4.8","248.8","26.2","","1013435"
"Jim Perry","31.6","4.1","2.7","6.8","219.9","24.7","","1010213"
"Kevin Tapani","19.9","-1.9","-0.8","-2.7","216.7","22.6","","1012824"
"Sid Hudson","7.9","-5.6","-6.1","-11.8","194.3","19.6","","1006141"
"Case Patten","5.3","-7.3","-4.0","-11.3","157.2","16.7","","1010056"
"Alvin Crowder","21.9","5.0","0.6","5.6","169.6","16.3","","1002820"
"Dean Chance","11.6","0.4","-4.7","-4.3","128.9","15.9","","1002130"
"Scott Baker","16.0","-0.9","1.1","0.2","153.9","15.8","$97.6","6176"
"Tom Zachary","19.9","-1.3","5.6","4.3","161.0","15.6","","1014405"
"Bob Porterfield","18.6","1.0","2.4","3.5","142.1","15.1","","1010445"
"Jim Shaw","17.3","0.5","2.4","2.8","127.4","14.5","","1011824"
"Bobo Newsom","9.1","-4.1","-1.2","-5.3","142.2","14.4","","1009546"
"Doc Ayers","10.1","-2.8","-1.4","-4.2","121.5","14.3","","1000387"
"Mickey Haefner","15.6","4.3","-2.5","1.8","127.7","13.8","","1005189"
"Bob Groom","9.7","-1.7","-2.2","-3.9","124.7","13.6","","1005081"
"Tom Hughes","4.5","-5.7","-3.3","-9.0","114.8","13.5","","1006163"
"Bump Hadley","16.3","2.6","0.2","2.8","142.5","13.5","","1005186"
"Eric Milton","13.3","4.4","-4.4","0.0","138.5","13.3","$13.6","743"
"Chuck Stobbs","6.2","-4.7","-2.4","-7.0","126.1","13.2","","1012548"
"Kyle Gibson","11.1","-2.8","1.0","-1.8","125.6","12.9","$102.4","10123"
"Dave Boswell","13.7","3.3","-2.5","0.7","112.9","12.9","","1001222"
"Firpo Marberry","22.4","6.0","3.4","9.5","135.5","12.9","","1008100"
"Jim Merritt","11.2","0.9","-2.5","-1.5","107.1","12.7","","1008789"
"Francisco Liriano","9.9","-0.8","-2.0","-2.8","120.0","12.7","$74.0","3201"
"Scott Erickson","13.5","-1.4","2.4","1.0","124.7","12.5","","137"
"Early Wynn","6.7","-3.8","-1.7","-5.4","113.3","12.1","","1014309"
"George Mogridge","19.9","4.1","3.9","8.0","123.3","11.9","","1009029"
"Walt Masterson","10.6","2.3","-3.5","-1.2","112.0","11.8","","1008230"
"Earl Whitehill","15.7","-1.4","5.4","4.0","123.8","11.7","","1013866"
"Jack Kralick","12.2","-1.3","1.8","0.5","111.9","11.7","","1007135"
"Geoff Zahn","10.6","-4.3","3.4","-0.9","110.7","11.5","","1014410"
"Pedro Ramos","11.3","0.0","0.1","0.1","108.1","11.2","","1010681"
"Jose Berrios","10.3","0.5","-1.3","-0.8","108.4","11.0","$88.1","14168"
