"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Clayton Kershaw","74.5","14.4","-5.8","8.6","574.2","65.8","$489.1","2036"
"Don Sutton","67.6","18.5","-15.3","3.2","557.4","64.4","","1012745"
"Don Drysdale","68.2","4.5","4.4","8.9","523.0","59.3","","1003516"
"Dazzy Vance","66.1","4.7","2.6","7.3","575.1","58.8","","1013342"
"Sandy Koufax","60.1","12.0","-6.5","5.5","460.6","54.5","","1007124"
"Fernando Valenzuela","33.3","1.0","-5.2","-4.1","329.2","37.4","","1013327"
"Orel Hershiser","38.2","5.4","-3.7","1.7","327.0","36.5","","1005741"
"Nap Rucker","46.1","0.8","13.2","13.9","287.6","32.2","","1011281"
"Burleigh Grimes","28.7","-0.8","-2.4","-3.2","303.6","31.9","","1005061"
"Johnny Podres","31.4","-4.3","5.8","1.5","278.3","29.8","","1010406"
"Don Newcombe","31.9","4.5","-2.1","2.4","279.9","29.5","","1009529"
"Bob Welch","33.2","5.2","-1.4","3.7","265.6","29.5","","1013750"
"Claude Osteen","36.7","0.1","7.9","8.1","251.9","28.7","","1009878"
"Burt Hooton","32.8","11.1","-6.4","4.7","249.3","28.1","","1006005"
"Adonis Terry","25.5","0.5","-2.3","-1.8","316.0","27.3","","1012926"
"Watty Clark","27.4","3.5","-1.5","2.1","257.6","25.4","","1002315"
"Van Mungo","27.9","4.9","-2.3","2.6","248.0","25.3","","1009321"
"Kevin Brown","24.3","4.6","-4.2","0.4","230.7","23.9","$28.9","642"
"Jerry Reuss","20.4","1.6","-4.5","-2.9","205.3","23.3","","1010853"
"Tommy John","21.0","-1.6","0.0","-1.6","199.4","22.6","","1006515"
"Ramon Martinez","24.1","7.7","-5.0","2.8","204.2","21.4","","1008193"
"Bill Singer","17.8","2.2","-5.6","-3.4","177.6","21.2","","1012007"
"Carl Erskine","23.3","2.2","0.1","2.3","202.8","21.0","","1003816"
"Jeff Pfeffer","36.2","5.2","10.2","15.4","178.1","20.8","","1010264"
"Whit Wyatt","24.1","6.5","-3.0","3.5","185.0","20.6","","1014304"
"Brickyard Kennedy","35.4","9.9","5.3","15.3","247.0","20.2","","1006836"
"Hideo Nomo","19.2","5.5","-5.9","-0.4","189.8","19.6","$24.1","666"
"Chad Billingsley","17.5","-1.7","0.8","-0.8","174.3","18.3","$116.0","5842"
"Preacher Roe","31.9","1.5","12.2","13.7","176.8","18.2","","1011122"
"Chan Ho Park","19.6","6.5","-3.9","2.6","171.1","16.9","$4.2","1267"
"Ismael Valdez","18.9","4.1","-2.1","2.0","166.9","16.9","","1283"
"Doug Rau","20.4","-0.9","4.7","3.8","150.8","16.6","","1010717"
"Rube Marquard","13.5","0.4","-2.2","-1.8","126.2","15.3","","1008125"
"Leon Cadore","19.3","0.9","3.2","4.2","134.6","15.2","","1001811"
"Hyun-Jin Ryu","17.3","-0.5","2.7","2.2","136.7","15.0","$116.2","14444"
"Derek Lowe","13.2","2.4","-3.7","-1.3","143.4","14.4","$77.5","199"
"Andy Messersmith","23.2","9.4","-0.5","8.9","127.9","14.3","","1008799"
