"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Ben Sheets","26.2","-0.6","-5.1","-5.7","303.9","31.9","$145.1","710"
"Teddy Higuera","27.1","1.9","-1.3","0.6","247.1","26.5","","1005799"
"Moose Haas","17.0","-1.3","-1.9","-3.2","194.5","20.2","","1005172"
"Chris Bosio","17.3","0.7","-2.3","-1.7","176.5","18.9","","1001212"
"Yovani Gallardo","16.4","-0.5","-0.3","-0.8","162.7","17.2","$113.5","8173"
"Mike Caldwell","20.9","2.0","2.5","4.5","154.4","16.4","","1001830"
"Jim Slaton","17.7","-0.1","3.1","3.0","139.2","14.7","","1012054"
"Bill Wegman","17.6","4.4","-0.7","3.7","138.2","13.9","","1013727"
"Jaime Navarro","7.6","-2.6","-2.8","-5.5","123.7","13.0","","1009465"
"Lary Sorensen","13.5","0.2","1.5","1.7","111.9","11.8","","1012279"
"Jim Colborn","13.2","1.2","0.6","1.8","104.9","11.4","","1002409"
"Doug Davis","10.6","0.1","-0.7","-0.6","111.4","11.2","$50.4","1244"
"Scott Karl","10.9","-1.0","1.8","0.8","107.3","10.1","","1006703"
"Cal Eldred","15.8","5.4","0.3","5.7","101.6","10.1","","1653"
"Chris Capuano","7.6","-0.9","-0.6","-1.5","92.5","9.2","$45.6","1701"
"Jimmy Nelson","5.1","-1.5","-1.5","-3.0","76.1","8.1","$64.4","10547"
"Marty Pattin","7.9","0.6","-0.6","0.0","72.6","7.9","","1010074"
"Zach Davies","9.6","1.0","0.8","1.8","76.8","7.8","$62.2","13183"
"Dave Bush","3.8","1.6","-5.3","-3.7","76.5","7.5","$39.8","4635"
"Ben McDonald","7.9","1.6","-0.8","0.7","74.6","7.2","","1008454"
"Don Sutton","5.8","0.7","-2.0","-1.3","67.7","7.1","","1012745"
"Skip Lockwood","5.5","-1.2","-0.2","-1.4","63.0","6.9","","1007696"
"Steve Woodard","2.8","-3.4","-0.4","-3.8","67.3","6.6","","1285"
"Mike Fiers","4.2","-0.4","-1.1","-1.5","49.9","5.7","$40.9","7754"
"Chase Anderson","10.6","4.2","1.2","5.3","52.0","5.3","$42.2","6895"
"Pete Vuckovich","5.7","-1.9","2.4","0.6","49.0","5.1","","1013461"
"Juan Nieves","1.7","-2.5","-0.8","-3.3","50.7","5.0","","1009594"
"Matt Garza","-0.6","0.1","-5.6","-5.4","45.5","4.8","$37.6","3340"
"Wily Peralta","3.4","-1.8","1.0","-0.8","38.8","4.1","$30.8","7738"
"Jerry Augustine","2.7","-1.0","-0.3","-1.3","37.2","4.0","","1000365"
"Jeff D'Amico","7.0","3.0","0.0","3.0","41.7","4.0","","871"
"Shaun Marcum","4.1","1.9","-1.8","0.1","37.2","4.0","$28.9","6204"
"Bill Champion","3.4","-1.0","0.5","-0.5","36.6","3.9","","1002127"
"Marco Estrada","3.3","1.7","-2.3","-0.6","35.1","3.9","$26.3","1118"
"Randy Wolf","4.6","-0.2","1.0","0.9","35.9","3.7","$26.5","976"
"Kyle Lohse","4.0","1.6","-1.1","0.5","32.0","3.5","$26.0","739"
"Bob McClure","2.5","0.4","-1.2","-0.9","33.3","3.4","","1008400"
"Jimmy Haynes","2.7","-0.6","0.0","-0.6","35.2","3.3","","329"
"Glendon Rusch","-0.5","-3.1","-0.7","-3.8","33.1","3.3","$13.6","707"
"Ricky Bones","9.4","5.6","0.6","6.1","35.2","3.3","","1001161"
"Manny Parra","-2.1","-4.1","-1.1","-5.2","30.9","3.1","$19.3","4279"
"Junior Guerra","4.7","1.4","0.4","1.8","27.1","2.9","$23.5","5702"
"Danny Darwin","3.6","1.6","-0.9","0.7","28.3","2.9","","1002996"
"Chris Narveson","1.0","0.1","-1.9","-1.8","27.2","2.8","$19.3","2141"
"Bill Travers","9.1","5.0","1.5","6.6","24.4","2.5","","1013161"
"Jamey Wright","4.1","0.5","1.1","1.6","26.9","2.5","($0.4)","715"
"Bill Parsons","2.8","1.6","-1.2","0.4","20.5","2.4","","1010026"
"Jeff Suppan","1.0","-2.3","1.2","-1.1","21.8","2.1","$11.6","633"
"Don August","2.1","-0.9","0.9","0.0","20.2","2.1","","1000364"
"Lew Krausse","2.6","0.3","0.4","0.7","17.8","1.8","","1007146"
"Gene Brabender","-1.6","-0.8","-2.6","-3.4","16.9","1.7","","1001293"
