"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Bob Feller","83.9","14.1","7.4","21.5","602.7","62.4","","1003975"
"Mel Harder","54.1","-0.4","6.3","5.9","493.7","48.3","","1005339"
"Sam McDowell","40.5","-1.2","-3.9","-5.1","388.8","45.6","","1008476"
"Stan Coveleski","56.2","7.6","4.9","12.5","401.8","43.7","","1002682"
"Mike Garcia","42.1","-3.6","5.3","1.6","378.9","40.5","","1004505"
"Willis Hudlin","31.6","-2.7","-0.6","-3.3","365.0","34.9","","1006132"
"Corey Kluber","34.4","-0.2","0.1","-0.1","310.5","34.5","$270.4","2429"
"Addie Joss","53.6","17.1","2.6","19.7","285.3","33.9","","1006630"
"Bob Lemon","52.2","15.0","4.4","19.4","318.5","32.8","","1007517"
"Early Wynn","44.3","10.2","1.9","12.1","308.7","32.3","","1014309"
"George Uhle","30.2","-2.7","0.9","-1.9","321.6","32.1","","1013266"
"Charles Nagy","27.7","-6.7","3.5","-3.2","308.0","30.9","($0.1)","397"
"CC Sabathia","31.0","1.9","-1.1","0.8","295.9","30.2","$134.0","404"
"Guy Morton","16.5","-1.4","-6.8","-8.3","217.4","24.7","","1009232"
"Carlos Carrasco","23.6","-3.6","2.7","-0.9","227.6","24.6","$194.5","6632"
"Jim Bagby","29.8","1.8","4.8","6.6","205.3","23.1","","1000411"
"Gaylord Perry","30.6","6.9","1.9","8.8","187.3","21.8","","1010210"
"Wes Ferrell","28.3","2.5","5.3","7.7","215.6","20.6","","1004010"
"Greg Swindell","15.5","-2.8","-1.8","-4.6","183.0","20.1","","76"
"Joe Shaute","15.0","-3.2","-1.8","-4.9","202.5","19.9","","1011813"
"Len Barker","8.9","-2.1","-8.8","-10.9","181.2","19.8","","1000546"
"Tom Candiotti","21.0","2.1","-0.8","1.2","183.9","19.8","","1001911"
"Bartolo Colon","22.8","1.1","2.7","3.8","193.7","19.0","$8.5","375"
"Cliff Lee","20.6","0.9","0.8","1.7","182.2","19.0","$105.7","1636"
"Johnny Allen","21.9","1.5","1.5","3.0","196.4","18.9","","1000150"
"Luis Tiant","24.4","4.3","1.2","5.5","158.7","18.9","","1013054"
"Willie Mitchell","13.1","-1.3","-4.2","-5.5","163.1","18.6","","1009011"
"Bert Blyleven","17.2","0.5","-0.7","-0.2","158.0","17.4","","1001098"
"Trevor Bauer","17.6","-0.3","1.3","1.0","157.3","16.5","$132.0","12703"
"Sonny Siebert","19.5","4.3","-1.3","2.9","144.2","16.5","","1011951"
"Clint Brown","13.2","-1.1","-1.0","-2.1","158.3","15.3","","1001504"
"Justin Masterson","9.6","-3.6","-1.9","-5.5","142.0","15.2","$107.4","2038"
"Bill Bernhard","15.7","0.8","0.3","1.1","129.3","14.6","","1000891"
"Jake Miller","14.9","-4.0","4.5","0.5","148.7","14.4","","1008903"
"Jake Westbrook","14.2","-0.1","0.8","0.7","136.9","13.5","$63.4","412"
"Rick Waits","10.7","-1.9","-0.6","-2.6","126.5","13.3","","1013494"
"Herb Score","15.8","4.6","-1.3","3.3","114.1","12.5","","1011671"
