"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Mickey Lolich","51.9","-9.0","-0.9","-9.9","542.9","61.8","","1007712"
"Hal Newhouser","66.5","3.3","2.9","6.1","540.2","60.4","","1009535"
"Justin Verlander","58.9","6.8","-5.8","1.0","534.9","57.9","$395.6","8700"
"Tommy Bridges","61.4","9.0","5.0","14.0","473.9","47.4","","1001421"
"Dizzy Trout","49.8","0.1","4.9","5.0","414.8","44.8","","1013196"
"Jack Morris","48.6","14.0","-9.6","4.4","423.4","44.2","","1009211"
"Hooks Dauss","34.8","1.4","-4.0","-2.7","349.3","37.5","","1003011"
"Frank Lary","36.4","-1.3","4.2","2.9","312.9","33.5","","1007364"
"George Mullin","34.8","-0.7","4.1","3.4","275.7","31.4","","1009302"
"Jim Bunning","34.3","2.0","1.3","3.3","288.7","30.9","","1001653"
"Virgil Trucks","31.3","5.0","-3.0","2.0","270.6","29.3","","1013203"
"Earl Whitehill","25.4","0.9","-3.1","-2.2","287.0","27.6","","1013866"
"Schoolboy Rowe","28.8","1.3","0.0","1.2","280.3","27.5","","1011259"
"Bill Donovan","33.8","3.0","7.3","10.2","201.0","23.6","","1003393"
"Fred Hutchinson","24.6","2.0","-0.6","1.3","221.9","23.3","","1006238"
"Max Scherzer","21.7","-1.7","1.1","-0.6","201.4","22.4","$157.3","3137"
"Denny McLain","30.1","7.5","1.6","9.1","180.3","21.0","","1008603"
"Milt Wilcox","19.5","2.5","-3.2","-0.7","193.2","20.2","","1013939"
"Dan Petry","23.9","7.8","-3.5","4.3","189.0","19.7","","1010246"
"Joe Coleman","15.5","-2.2","-1.4","-3.6","167.6","19.0","","1002428"
"Billy Hoeft","16.6","-3.7","1.4","-2.3","177.5","18.9","","1005893"
"Frank Tanana","17.5","0.4","-1.1","-0.8","177.0","18.3","","1012818"
"Vic Sorrell","20.5","0.5","2.4","2.9","187.0","17.7","","1012283"
"Bobo Newsom","18.2","0.5","1.3","1.9","160.4","16.3","","1009546"
"Don Mossi","17.0","0.9","-0.2","0.7","154.5","16.3","","1009250"
"Jeremy Bonderman","8.7","-2.6","-4.7","-7.2","158.2","16.0","$77.5","1667"
"Rick Porcello","12.2","-3.9","1.3","-2.6","140.5","14.8","$103.5","2717"
"Harry Coveleski","16.4","3.1","-1.0","2.1","121.1","14.2","","1002681"
"Elden Auker","16.7","0.4","2.2","2.5","152.8","14.2","","1000366"
"Al Benton","18.4","3.2","1.0","4.2","133.8","14.2","","1000853"
"Art Houtteman","12.0","-0.9","-1.2","-2.1","138.0","14.1","","1006066"
"Walt Terrell","12.4","0.0","-1.6","-1.6","136.8","14.0","","1012924"
"Anibal Sanchez","9.1","-1.1","-3.5","-4.5","122.8","13.7","$102.5","3284"
"Earl Wilson","16.2","1.4","1.8","3.2","114.4","13.0","","1014073"
"Paul Foytack","17.2","6.0","-1.7","4.2","124.7","13.0","","1004287"
"George Uhle","15.3","2.6","-0.2","2.4","134.9","12.9","","1013266"
"Ed Siever","15.5","-0.9","3.6","2.7","118.2","12.8","","1011958"
"Brian Moehler","12.6","0.1","0.0","0.2","129.8","12.4","$1.2","480"
"Hank Aguirre","15.5","3.7","-0.6","3.1","115.3","12.4","","1000087"
"Ed Willett","14.6","3.7","-1.1","2.6","107.9","12.0","","1013966"
"Jeff Weaver","11.2","1.4","-2.0","-0.7","121.1","11.9","$12.1","503"
"Stubby Overmire","8.7","-1.5","-1.6","-3.1","104.6","11.8","","1009911"
"Dutch Leonard","10.0","-1.5","0.0","-1.4","112.9","11.4","","1007532"
"Justin Thompson","13.2","3.2","-1.2","2.0","113.6","11.2","","8217"
"Ed Summers","13.0","1.0","1.2","2.2","90.2","10.8","","1012719"
"Ted Gray","9.7","1.9","-3.0","-1.0","105.4","10.7","","1004978"
"Ed Killian","23.0","2.3","10.0","12.3","90.5","10.6","","1006908"
"Dave Rozema","12.1","2.3","-0.3","2.0","96.4","10.1","","1011273"
"Doug Fister","9.2","-1.0","0.5","-0.5","87.9","9.7","$68.9","9425"
"Rip Collins","7.2","1.9","-3.9","-2.0","94.9","9.2","","1002463"
"Ned Garver","10.0","0.4","0.4","0.8","87.3","9.2","","1004556"
"Nate Robertson","9.3","-0.9","1.0","0.2","94.6","9.1","$46.2","1620"
"Howard Ehmke","11.8","1.2","1.7","2.8","86.7","9.0","","1003707"
"Bernie Boland","12.7","3.9","0.2","4.2","74.1","8.5","","1001137"
"Matthew Boyd","5.3","-0.2","-2.8","-3.0","83.7","8.4","$66.9","15440"
"Ken Holloway","4.8","-3.1","-0.4","-3.5","85.0","8.3","","1005966"
"Jean Dubuc","10.4","4.7","-2.4","2.3","73.7","8.1","","1003519"
"Johnny Gorsica","4.7","-2.2","-1.1","-3.3","76.7","8.0","","1004890"
"Michael Fulmer","7.9","1.5","-1.5","0.0","75.9","7.9","$63.2","13218"
"Mark Fidrych","9.6","1.7","0.1","1.8","68.1","7.8","","1004023"
"David Wells","8.9","2.2","-0.8","1.4","76.3","7.5","","855"
"Dave Wickersham","6.9","0.3","-0.6","-0.3","66.3","7.2","","1013917"
"Mike Maroth","7.2","-1.0","1.1","0.1","71.9","7.1","$29.6","1508"
"Lil Stoner","3.9","-2.8","-0.3","-3.1","73.4","7.0","","1012570"
"Joe Sparma","5.2","-0.3","-1.6","-1.8","61.7","7.0","","1012307"
"Steve Sparks","4.0","-0.9","-1.5","-2.3","65.4","6.3","$4.5","499"
"Herman Pillette","8.5","1.5","0.8","2.3","64.5","6.3","","1010351"
"Hal White","6.7","0.8","-0.3","0.5","55.0","6.2","","1013877"
"Red Oldham","2.8","-2.2","-1.0","-3.3","61.9","6.1","","1009762"
"Doyle Alexander","7.6","1.0","0.7","1.6","56.9","5.9","","1000122"
"Ownie Carroll","6.2","0.0","0.3","0.3","60.6","5.9","","1002003"
"Firpo Marberry","7.3","1.4","0.2","1.6","57.8","5.7","","1008100"
