"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Fergie Jenkins","52.3","3.8","-3.4","0.4","432.0","51.9","","1006388"
"Rick Reuschel","39.3","-11.4","3.3","-8.1","414.6","47.4","","1010852"
"Bill Hutchison","48.9","5.0","0.8","5.8","508.2","43.2","","1006235"
"Mordecai Brown","60.8","12.3","7.5","19.8","349.5","41.0","","1001547"
"Bob Rush","30.8","1.7","-10.4","-8.7","373.6","39.5","","1011307"
"Greg Maddux","33.8","-1.0","-1.5","-2.5","328.5","36.3","$40.5","104"
"Charley Root","46.6","5.8","4.7","10.5","365.9","36.1","","1011188"
"Hippo Vaughn","40.6","0.9","4.8","5.7","290.9","35.0","","1013384"
"Pete Alexander","46.1","6.6","5.9","12.4","316.5","33.7","","1000128"
"Clark Griffith","44.1","4.3","6.5","10.7","394.7","33.4","","1005038"
"Claude Passeau","35.6","-1.1","3.7","2.6","302.2","33.0","","1010046"
"John Clarkson","42.7","7.7","3.8","11.5","349.3","31.1","","1002293"
"Carlos Zambrano","37.2","8.2","-1.3","7.0","295.8","30.3","$155.2","305"
"Bill Lee","35.9","1.6","4.8","6.4","288.7","29.6","","1007447"
"Larry Corcoran","45.4","13.8","4.0","17.8","300.0","27.5","","1002618"
"Bill Hands","26.4","2.4","-0.7","1.6","211.0","24.7","","1005303"
"Lon Warneke","38.3","7.5","6.4","13.9","236.3","24.5","","1013637"
"Pat Malone","27.6","3.0","1.6","4.6","239.3","23.0","","1008044"
"Dick Ellsworth","20.6","-2.9","1.6","-1.3","193.5","21.9","","1003754"
"Kyle Hendricks","26.7","4.6","1.0","5.6","199.2","21.1","$168.1","12049"
"Kerry Wood","22.7","3.8","-1.8","2.0","201.6","20.7","$45.4","304"
"Larry French","24.4","-2.3","6.1","3.8","203.5","20.6","","1004338"
"Orval Overall","28.1","2.6","5.2","7.8","167.1","20.3","","1009910"
"Rick Sutcliffe","20.3","-1.2","1.4","0.2","179.6","20.2","","1012734"
"Ken Holtzman","19.3","-0.8","0.2","-0.5","171.8","19.8","","1005989"
"Guy Bush","28.4","5.1","3.5","8.6","204.3","19.8","","1001752"
"Jack Taylor","24.8","9.7","-3.5","6.2","189.2","18.6","","1012879"
"Ed Reulbach","42.4","14.0","10.1","24.1","162.7","18.4","","1010850"
"Jake Arrieta","22.3","8.2","-4.3","4.0","161.9","18.3","$144.6","4153"
"Paul Minner","14.2","-5.1","1.2","-4.0","175.7","18.2","","1008980"
"Bill Bonham","10.1","-5.7","-2.4","-8.1","163.6","18.2","","1001165"
"Jon Lester","18.5","-0.6","2.1","1.5","160.7","17.0","$135.6","4930"
"Mark Prior","14.8","-1.3","-0.1","-1.4","150.8","16.3","$69.6","301"
"Johnny Schmitz","15.4","1.8","-2.7","-0.9","153.4","16.2","","1011585"
"Fred Goldsmith","24.3","4.0","4.2","8.1","177.0","16.2","","1004808"
"Jon Lieber","13.2","0.4","-3.4","-2.9","160.1","16.1","$10.1","287"
"Ryan Dempster","16.7","-0.1","1.0","0.9","150.7","15.9","$101.9","517"
"Jack Pfiester","21.0","3.9","1.5","5.4","130.3","15.6","","1010266"
"Larry Jackson","13.5","1.4","-3.0","-1.6","126.4","15.1","","1006304"
"Sheriff Blake","19.7","-0.8","6.3","5.4","149.3","14.3","","1001038"
"Hank Wyse","17.6","-1.9","5.4","3.5","129.0","14.1","","1014315"
"Claude Hendrix","10.1","-2.5","-0.7","-3.2","111.4","13.3","","1005638"
"Terry Larkin","13.5","3.4","-2.9","0.4","139.2","13.0","","1007352"
"Nixey Callahan","12.8","-0.5","1.0","0.4","137.5","12.4","","1001847"
"Frank Castillo","9.5","-0.4","-2.3","-2.7","116.8","12.3","","180"
"George Zettlein","17.4","3.2","2.0","5.2","176.2","12.2","","1014433"
"Burt Hooton","9.5","-2.5","-0.2","-2.7","105.7","12.2","","1006005"
"Ted Lilly","15.4","5.7","-2.3","3.5","116.7","11.9","$72.2","833"
"Mike Krukow","7.7","-2.6","-1.5","-4.1","107.6","11.8","","1007185"
"Kevin Tapani","8.6","-0.6","-2.3","-2.9","118.0","11.6","","1012824"
"Ad Gumbert","12.8","-1.2","2.6","1.4","128.8","11.4","","1005139"
"Scott Sanderson","9.4","-0.7","-1.2","-1.9","101.3","11.3","","1011422"
"Dennis Eckersley","9.5","0.0","-1.2","-1.3","94.7","10.7","","1003660"
"Glen Hobbie","8.1","-0.8","-1.9","-2.7","101.6","10.7","","1005868"
"Matt Clement","10.8","2.9","-2.8","0.1","103.8","10.6","$43.6","271"
"Larry Cheney","14.6","5.2","-1.2","4.0","99.2","10.6","","1002176"
"Milt Pappas","15.4","0.3","4.6","4.9","92.9","10.5","","1009989"
"Steve Trout","9.5","-4.6","3.8","-0.8","94.1","10.3","","1013197"
"Phil Douglas","8.2","1.1","-3.0","-1.9","82.9","10.2","","1003436"
"Carl Lundgren","21.9","6.1","5.7","11.8","92.7","10.1","","1007836"
"Steve Trachsel","13.9","2.6","1.1","3.7","104.5","10.1","$0.5","898"
"Warren Hacker","10.6","5.4","-4.8","0.6","96.9","10.0","","1005182"
"Jake Weimer","20.1","5.7","4.6","10.3","89.7","9.8","","1013738"
"Ray Burris","7.5","-3.3","1.8","-1.5","83.0","9.0","","1001729"
"Paul Derringer","3.0","-2.7","-3.3","-6.0","80.4","8.9","","1003224"
"Bob Wicker","13.3","2.8","1.8","4.6","80.3","8.7","","1013916"
"Buttons Briggs","10.1","0.0","1.5","1.5","88.9","8.6","","1001424"
"Hank Borowy","6.1","-2.3","0.3","-2.0","75.1","8.1","","1001208"
"Don Cardwell","5.7","1.2","-3.4","-2.2","74.5","7.9","","1001941"
"Dennis Lamp","6.1","-3.5","1.8","-1.8","71.9","7.9","","1007284"
"Adonis Terry","5.5","0.1","-2.4","-2.3","99.6","7.8","","1012926"
"Jeff Samardzija","5.4","-1.4","-0.7","-2.1","67.3","7.5","$54.4","3254"
"Vic Aldridge","12.5","3.6","1.6","5.1","75.8","7.4","","1000118"
