"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Ubaldo Jimenez","19.9","2.2","-1.0","1.2","173.5","18.7","$118.1","3374"
"Aaron Cook","19.5","-3.7","6.0","2.3","171.0","17.2","$95.5","1571"
"Jorge De La Rosa","15.5","-0.3","1.2","0.9","136.9","14.6","$102.1","2047"
"Jeff Francis","11.9","-4.3","1.6","-2.6","143.8","14.5","$79.8","4684"
"Jon Gray","11.2","-3.6","1.0","-2.6","131.3","13.8","$110.3","14916"
"Pedro Astacio","10.9","-4.8","3.2","-1.6","128.6","12.5","","862"
"German Marquez","12.7","-2.1","2.3","0.2","120.4","12.5","$99.9","15038"
"Jason Jennings","13.2","-3.7","4.6","0.9","123.6","12.3","$50.7","434"
"Jhoulys Chacin","12.9","1.8","1.6","3.3","87.2","9.6","$67.6","2608"
"John Thomson","9.0","-0.9","0.6","-0.2","90.7","9.2","$6.7","453"
"Jason Hammel","5.1","-2.5","-0.2","-2.7","73.3","7.8","$49.6","4538"
"Kyle Freeland","12.0","-0.6","5.5","4.9","68.5","7.1","$56.8","16256"
"Kevin Ritz","6.8","-2.5","2.8","0.3","65.4","6.5","","1010998"
"Chad Bettis","5.4","-1.1","1.1","0.1","50.8","5.3","$42.5","10587"
"Tyler Chatwood","9.1","0.6","3.3","3.8","50.5","5.3","$40.7","4338"
"Jamey Wright","6.1","-3.8","4.6","0.9","54.4","5.2","$4.7","715"
"Tyler Anderson","5.6","-0.7","1.4","0.7","46.2","4.8","$38.8","12880"
"Armando Reynoso","7.4","-1.1","4.1","3.0","44.0","4.4","","72"
"Darryl Kile","3.8","-1.4","1.1","-0.3","41.7","4.1","","1163"
"Juan Nicasio","2.0","-1.8","-0.1","-1.9","35.8","3.9","$28.5","7731"
"Byung-Hyun Kim","2.6","-2.0","0.8","-1.2","38.6","3.9","$18.2","61"
"Antonio Senzatela","5.6","-0.5","2.3","1.8","37.9","3.8","$30.0","15488"
"Shawn Chacon","6.4","2.2","0.6","2.7","37.2","3.7","$10.5","424"
"Marvin Freeman","4.9","-0.9","2.3","1.4","35.1","3.5","","1004326"
"Denny Neagle","3.1","-0.3","-0.1","-0.4","34.9","3.5","$4.6","441"
"Brian Bohanon","3.8","-1.4","2.0","0.6","35.5","3.3","","1001126"
"Jason Marquis","4.0","0.4","0.3","0.8","31.4","3.2","$20.5","105"
"Joe Kennedy","3.1","-1.5","1.4","-0.1","31.7","3.2","$13.4","1217"
"Josh Fogg","1.9","-1.1","0.3","-0.7","27.1","2.7","$13.3","989"
"Jordan Lyles","1.2","-0.6","-0.7","-1.3","22.5","2.5","$19.1","7593"
"Darren Oliver","2.0","-0.2","-0.1","-0.3","23.1","2.3","$9.9","206"
"Bobby Jones","1.7","-0.9","0.4","-0.5","22.2","2.3","","1454"
"Mike Hampton","1.3","-2.0","1.1","-1.0","23.2","2.2","$1.3","430"
"Roger Bailey","4.8","0.2","2.4","2.6","21.9","2.1","","1000429"
"Bill Swift","1.2","-1.1","0.4","-0.7","19.3","1.9","","1012788"
"Tyler Matzek","2.9","-0.5","1.5","1.0","16.3","1.9","$14.0","10058"
"David Nied","2.0","-0.8","1.1","0.3","17.5","1.7","","1009577"
"Chris Rusin","0.2","-1.8","0.3","-1.5","15.9","1.7","$13.3","9895"
"Masato Yoshii","2.2","-0.4","1.0","0.6","17.8","1.6","","807"
"Julian Tavarez","1.8","0.4","-0.1","0.3","15.6","1.5","","541"
"Rolando Arrojo","0.6","-0.8","0.0","-0.8","15.5","1.5","","174"
"Willie Blair","0.9","-1.4","1.0","-0.4","12.2","1.2","","1001033"
"Franklin Morales","1.5","-0.1","0.5","0.4","10.4","1.1","$6.2","5088"
"Brett Anderson","1.0","-0.2","0.1","-0.1","9.1","1.0","$8.0","8223"
"Drew Pomeranz","0.8","-0.4","0.1","-0.2","8.7","1.0","$6.9","11426"
"Glendon Rusch","0.6","-0.4","0.0","-0.4","9.8","1.0","$6.2","707"
"Bryan Rekar","0.5","-0.5","0.0","-0.5","9.1","1.0","","625"
"Roy Oswalt","-0.3","-1.0","-0.2","-1.2","8.0","0.9","$6.9","571"
"Rodrigo Lopez","1.1","0.4","-0.2","0.2","9.4","0.9","$5.1","150"
"Taylor Buchholz","-0.1","-0.4","-0.6","-1.0","9.0","0.9","$5.0","2168"
"Sun-Woo Kim","0.6","-0.1","-0.2","-0.2","8.2","0.8","$4.0","197"
