"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Bob Gibson","93.6","8.6","2.3","10.9","688.7","82.7","","1004662"
"Adam Wainwright","41.2","-1.5","2.6","1.1","372.0","40.1","$277.6","2233"
"Dizzy Dean","42.0","0.7","4.2","4.9","354.6","37.1","","1003106"
"Jesse Haines","45.0","4.2","5.0","9.2","363.1","35.8","","1005209"
"Harry Brecheen","45.4","7.0","4.7","11.7","308.0","33.6","","1001375"
"Max Lanier","33.5","0.0","4.6","4.6","262.5","28.9","","1007325"
"Mort Cooper","36.3","5.0","2.8","7.8","255.5","28.5","","1002598"
"Larry Jackson","28.6","-2.0","2.6","0.6","257.5","28.1","","1006304"
"Chris Carpenter","32.2","3.9","0.8","4.7","259.8","27.5","$154.7","1292"
"Bill Doak","29.7","1.3","3.0","4.3","229.6","25.4","","1003336"
"Howie Pollet","29.8","0.7","3.9","4.6","233.7","25.2","","1010423"
"Bob Forsch","30.3","9.7","-4.0","5.7","227.7","24.6","","1004233"
"Silver King","42.0","8.1","9.4","17.6","265.7","24.4","","1006943"
"Matt Morris","24.2","-0.7","1.3","0.5","229.1","23.7","$45.9","1172"
"Bill Sherdel","27.6","-1.8","6.1","4.3","237.1","23.3","","1011869"
"Slim Sallee","24.6","0.4","3.1","3.5","193.3","21.1","","1011385"
"Steve Carlton","21.7","-1.9","2.7","0.8","177.0","20.9","","1001964"
"Bob Caruthers","39.4","7.9","11.5","19.4","226.3","20.1","","1002026"
"Curt Simmons","22.3","0.6","1.8","2.4","176.7","20.0","","1011980"
"Bill Hallahan","19.8","-2.7","2.7","0.0","201.5","19.8","","1005229"
"Ted Breitenstein","29.0","9.6","-0.2","9.4","255.3","19.7","","1001383"
"Dave Foutz","33.6","8.3","7.1","15.4","209.8","18.2","","1004266"
"Vinegar Bend Mizell","19.7","2.6","-0.8","1.8","169.5","17.9","","1009015"
"Jack Stivetts","23.5","3.2","3.8","7.0","189.6","16.5","","1012547"
"Jumbo McGinnis","18.9","3.9","-1.4","2.5","184.7","16.4","","1008528"
"Harvey Haddix","14.5","-0.3","-1.3","-1.6","153.5","16.1","","1005184"
