"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Felix Hernandez","56.8","2.9","-0.1","2.8","498.5","54.0","$357.1","4772"
"Randy Johnson","42.0","3.1","-4.6","-1.5","411.9","43.6","","60"
"Jamie Moyer","39.4","12.8","-3.6","9.1","308.7","30.3","$49.5","1091"
"Mike Moore","14.7","-4.4","-5.1","-9.5","229.8","24.2","","1009122"
"Erik Hanson","17.4","-3.0","-1.0","-4.0","196.3","21.4","","1005333"
"Mark Langston","17.2","0.1","-3.0","-2.9","189.9","20.1","","1007323"
"Freddy Garcia","21.4","5.0","-1.5","3.5","180.3","17.9","$31.7","1077"
"Jim Beattie","12.6","-2.2","-1.5","-3.7","151.2","16.3","","1000731"
"James Paxton","10.9","-0.7","-2.0","-2.7","126.1","13.6","$108.0","11828"
"Floyd Bannister","12.0","0.8","-2.0","-1.2","125.0","13.2","","1000516"
"Hisashi Iwakuma","17.9","3.8","1.7","5.5","115.6","12.4","$93.8","13048"
"Matt Young","6.7","-1.8","-3.5","-5.2","112.8","11.9","","1014385"
"Joel Pineiro","10.3","-0.4","-0.4","-0.9","112.6","11.2","$40.0","1094"
"Marco Gonzales","6.7","-1.3","-1.2","-2.5","89.6","9.2","$73.2","15467"
"Scott Bankhead","7.9","1.0","-1.6","-0.6","78.1","8.4","","1000510"
"Jarrod Washburn","10.6","4.2","-1.8","2.4","83.0","8.2","$47.5","40"
"Glenn Abbott","5.2","0.1","-3.0","-2.9","78.6","8.1","","1000010"
"Jason Vargas","8.7","3.9","-3.0","0.9","75.2","7.8","$51.8","8044"
"Jeff Fassero","6.9","0.6","-0.9","-0.4","72.4","7.3","","279"
"Brian Holman","8.9","-0.3","1.9","1.7","68.8","7.3","","1005969"
"Bill Swift","0.6","-4.2","-2.3","-6.5","69.1","7.1","","1012788"
"Aaron Sele","7.8","0.5","0.3","0.8","73.3","7.0","$0.4","34"
"Chris Bosio","6.2","-0.6","-0.2","-0.8","73.0","7.0","","1001212"
"Gil Meche","8.1","2.6","-1.4","1.3","72.6","6.9","$22.0","1089"
"Doug Fister","6.2","0.3","-0.9","-0.6","63.6","6.8","$45.9","9425"
"Mike Parrott","1.1","-2.4","-2.4","-4.9","56.2","6.0","","1010024"
"Rick Honeycutt","4.5","0.1","-1.4","-1.3","55.2","5.7","","1005992"
"Dave Fleming","4.7","-1.5","0.8","-0.7","49.3","5.4","","1004145"
"Mike Morgan","3.4","-2.5","0.5","-2.0","54.6","5.4","","67"
"John Halama","3.0","-2.9","0.9","-2.0","53.5","5.0","$1.8","1080"
"Mike Leake","3.6","-0.8","-0.3","-1.1","46.5","4.7","$37.8","10130"
"Ryan Franklin","7.3","3.5","-0.8","2.8","47.4","4.6","$19.4","1076"
"Gaylord Perry","2.3","-1.1","-0.2","-1.3","35.6","3.7","","1010210"
"Paul Abbott","6.2","3.7","-1.1","2.6","38.6","3.6","($0.1)","1061"
"Taijuan Walker","2.7","1.9","-2.6","-0.7","32.6","3.4","$26.7","11836"
