"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Ted Lyons","73.0","14.9","3.2","18.0","564.7","54.9","","1007887"
"Red Faber","67.5","11.7","2.9","14.7","516.1","52.8","","1003889"
"Billy Pierce","65.0","7.2","6.9","14.1","477.6","51.0","","1010326"
"Ed Walsh","71.1","15.0","6.8","21.9","409.0","49.2","","1013570"
"Mark Buehrle","48.8","3.4","3.2","6.6","414.1","42.2","$200.5","225"
"Eddie Cicotte","52.8","7.1","7.1","14.2","332.0","38.6","","1002236"
"Wilbur Wood","32.2","0.7","-0.5","0.2","280.3","32.0","","1014248"
"Thornton Lee","35.7","6.0","2.0","7.9","273.5","27.7","","1007468"
"Joe Horlen","32.9","2.6","3.0","5.6","245.6","27.3","","1006025"
"Gary Peters","28.5","1.0","1.5","2.4","228.3","26.1","","1010228"
"Chris Sale","26.3","0.9","0.0","0.9","227.1","25.4","$191.3","10603"
"Jack McDowell","27.8","2.2","0.5","2.7","239.5","25.1","","1008473"
"Tommy John","26.6","-1.8","3.4","1.6","222.3","25.1","","1006515"
"Doc White","43.0","6.3","11.7","18.0","215.0","25.0","","1013864"
"Alex Fernandez","24.0","3.3","-0.8","2.5","218.4","21.5","","1003993"
"Jim Scott","30.1","3.8","5.1","8.9","185.6","21.2","","1011684"
"Jose Quintana","20.3","-2.3","1.7","-0.7","193.2","21.0","$161.9","11423"
"Reb Russell","21.8","3.8","-2.4","1.3","173.3","20.5","","1011321"
"Britt Burns","18.1","1.3","-1.1","0.2","169.6","18.0","","1001702"
"Tommy Thomas","24.0","6.2","-0.1","6.1","185.0","17.9","","1012996"
"Joe Benz","21.2","2.9","0.7","3.6","153.2","17.6","","1000860"
"John Danks","17.9","2.1","-1.7","0.4","168.4","17.5","$115.2","6329"
"Dick Donovan","22.2","3.3","1.4","4.8","163.1","17.4","","1003395"
"Richard Dotson","20.8","2.2","1.6","3.8","167.8","17.0","","1003424"
"Jon Garland","19.7","5.3","-2.6","2.7","172.2","17.0","$77.2","232"
"Juan Pizarro","18.6","1.1","0.7","1.7","156.6","16.9","","1010382"
"Johnny Rigney","22.7","7.5","-0.7","6.8","158.7","15.9","","1010961"
"Frank Smith","27.1","9.3","2.0","11.4","130.5","15.8","","1012139"
"Gavin Floyd","14.9","1.3","-2.2","-0.9","152.0","15.8","$103.0","3886"
"Lefty Williams","16.2","0.1","1.6","1.7","128.3","14.5","","1014015"
"Jose Contreras","9.6","1.6","-6.4","-4.8","144.6","14.5","$76.1","1660"
"Javier Vazquez","10.7","-0.3","-3.4","-3.6","138.7","14.3","$79.1","801"
"Floyd Bannister","15.1","2.3","-1.4","0.9","138.2","14.2","","1000516"
"La Marr Hoyt","10.7","2.5","-6.0","-3.5","133.1","14.2","","1006114"
"Wilson Alvarez","19.8","5.1","0.9","6.0","143.6","13.8","","1193"
"Tom Bradley","9.4","-1.9","-2.3","-4.1","111.3","13.5","","1001316"
"Early Wynn","14.2","1.7","-0.6","1.2","126.4","13.1","","1014309"
"Eddie Smith","16.1","3.2","0.5","3.7","120.6","12.3","","1012132"
"Roy Patterson","20.5","3.6","4.6","8.2","118.1","12.3","","1010071"
"Freddy Garcia","12.9","2.0","-1.3","0.8","120.4","12.2","$60.8","1077"
"Ray Herbert","12.2","-1.2","1.5","0.3","110.7","11.9","","1005684"
"Ed Lopat","13.7","-0.1","2.4","2.3","104.0","11.4","","1007748"
"Mike Sirotka","10.0","-1.5","0.1","-1.4","119.4","11.4","","1012015"
"Ted Blankenship","14.0","1.4","1.4","2.9","116.2","11.1","","1001054"
"Nick Altrock","17.8","3.8","3.0","6.8","92.3","11.0","","1000191"
"Jim Kaat","12.9","-0.5","2.5","2.0","99.2","10.9","","1006660"
"Virgil Trucks","15.2","2.0","2.8","4.7","97.6","10.5","","1013203"
"Bill Dietrich","9.4","1.2","-2.2","-1.0","100.3","10.4","","1003289"
"Jack Harshman","14.8","2.4","2.1","4.5","97.3","10.4","","1005435"
"Jake Peavy","9.0","1.5","-2.7","-1.2","95.3","10.2","$69.2","1051"
"Bill Wight","10.7","-1.4","2.2","0.8","99.5","9.9","","1013933"
"John Buzhardt","11.9","1.4","0.8","2.3","89.2","9.7","","1001788"
"James Baldwin","9.9","2.9","-2.6","0.3","102.1","9.6","","1064"
"Bart Johnson","6.9","-2.2","-0.4","-2.5","85.8","9.5","","1006422"
"John Whitehead","13.7","1.5","3.0","4.5","101.0","9.2","","1013882"
"Dickie Kerr","10.4","0.6","0.8","1.4","88.5","9.1","","1006871"
"Orval Grove","5.6","-2.9","-0.5","-3.4","82.2","9.0","","1005100"
"Steve Trout","5.6","-2.0","-1.4","-3.4","85.1","8.9","","1013197"
"Frank Owen","12.6","4.8","-0.8","4.0","75.6","8.6","","1009916"
"Monty Stratton","11.7","2.7","0.6","3.3","88.2","8.5","","1012602"
"Esteban Loaiza","9.8","0.5","0.9","1.4","80.4","8.4","$35.9","1310"
"Charlie Robertson","7.9","-0.3","-0.1","-0.4","85.8","8.3","","1011025"
"Johnny Humphries","10.6","0.2","2.4","2.5","73.9","8.1","","1006186"
"Saul Rogovin","8.5","0.3","0.2","0.6","74.2","8.0","","1011143"
"Ken Kravec","6.4","1.7","-3.1","-1.5","76.2","7.9","","1007147"
"Greg Hibbard","8.5","2.0","-1.2","0.8","73.2","7.8","","1005764"
"Joe Haynes","11.2","0.5","3.1","3.6","72.0","7.7","","1005534"
"Sam Jones","7.7","0.8","-0.8","0.0","81.1","7.7","","1006589"
"Tom Seaver","9.9","3.7","-1.3","2.4","72.2","7.5","","1011708"
"Vern Kennedy","8.8","2.4","-1.1","1.3","82.0","7.4","","1006851"
"Lucas Giolito","6.9","3.5","-4.0","-0.5","72.0","7.4","$59.3","15474"
"Stan Bahnsen","5.8","-3.5","2.2","-1.4","64.3","7.2","","1000414"
"Steve Stone","4.7","-0.7","-1.7","-2.4","66.7","7.0","","1012573"
"Carlos Rodon","6.4","-0.6","0.1","-0.5","67.4","6.9","$55.2","16137"
"Sloppy Thurston","6.5","-2.0","1.9","-0.1","69.1","6.6","","1013053"
"Randy Gumpert","7.9","2.0","-0.7","1.3","65.6","6.5","","1005143"
"Francisco Barrios","6.0","2.1","-2.4","-0.4","60.7","6.4","","1000603"
"Joe Dobson","8.8","2.6","0.0","2.6","58.2","6.3","","1003344"
"Bob Shaw","8.7","-1.0","4.0","3.0","54.8","5.7","","1011819"
"Dixie Leverett","4.8","1.2","-2.1","-0.9","58.1","5.6","","1007564"
"Melido Perez","2.5","0.7","-3.8","-3.1","53.0","5.6","","1010183"
"Jack Knott","7.3","2.1","-0.4","1.7","58.3","5.5","","1007053"
"Jim Parque","3.2","-2.2","0.3","-1.8","54.4","5.0","($0.9)","250"
"Bartolo Colon","5.8","1.4","-0.5","0.9","48.7","4.9","$21.5","375"
"Reynaldo Lopez","3.6","1.2","-2.4","-1.2","47.7","4.8","$38.1","16400"
"Bob Keegan","9.1","1.6","3.1","4.7","42.8","4.4","","1006744"
"Jim Wilson","6.4","1.2","0.9","2.1","41.9","4.3","","1014089"
"Ross Baumgarten","6.5","2.1","0.1","2.1","42.2","4.3","","1000689"
"Nixey Callahan","6.7","2.4","0.2","2.6","44.1","4.2","","1001847"
"Frank Baumann","2.5","-2.4","0.8","-1.6","39.9","4.1","","1000683"
"Milt Gaston","1.0","-0.4","-2.7","-3.1","42.9","4.0","","1004567"
"Sarge Connally","3.1","-2.1","1.2","-0.9","40.5","4.0","","1002513"
"Clark Griffith","8.0","0.7","3.4","4.1","42.3","3.9","","1005038"
"Frank Papish","5.4","1.0","0.5","1.5","35.7","3.9","","1009985"
"Bruce Howard","6.3","2.4","0.0","2.5","35.0","3.9","","1006071"
"Kirk McCaskill","-0.2","-0.6","-3.3","-3.9","36.1","3.7","","1008382"
"Frank Lange","4.2","0.3","0.2","0.5","34.3","3.7","","1007318"
"Jason Bere","3.1","1.7","-2.2","-0.4","35.8","3.5","","266"
"Rich Wortham","0.9","0.2","-2.6","-2.4","32.2","3.3","","1014264"
"Eric King","6.0","2.7","0.1","2.8","30.4","3.2","","1006929"
"Buck Ross","2.7","1.2","-1.7","-0.5","29.4","3.1","","1011224"
"Bill Long","1.9","-0.6","-0.6","-1.2","31.2","3.1","","1007727"
"Jaime Navarro","-3.6","-3.3","-3.2","-6.4","28.2","2.8","","1009465"
"Roy Wilkinson","1.1","-2.2","0.5","-1.6","28.7","2.8","","1013961"
"Fred Olmstead","1.3","-1.7","0.3","-1.4","23.3","2.6","","1009786"
"Pat Caraway","0.0","0.6","-2.6","-2.0","22.7","2.0","","1001933"
"Mike Cvengros","2.6","0.9","-0.1","0.8","18.8","1.8","","1002916"
"Charlie Hough","3.8","4.5","-2.4","2.1","16.6","1.7","","1006050"
"Les Tietje","4.8","1.9","1.2","3.1","17.9","1.7","","1013063"
"Vic Frazier","-0.5","1.3","-3.1","-1.9","14.9","1.4","","1004307"
"Dan Wright","-0.2","0.4","-1.7","-1.3","10.3","1.1","$4.6","258"
"Patsy Flaherty","-1.8","-1.0","-1.6","-2.6","7.8","0.8","","1004129"
"Grady Adkins","2.1","0.6","0.7","1.3","8.0","0.8","","1000075"
"James Shields","0.4","2.3","-1.6","0.7","-4.6","-0.3","($2.6)","7059"
