"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Roy Oswalt","48.5","-2.0","4.4","2.4","437.4","46.0","$208.1","571"
"Nolan Ryan","29.0","3.9","-11.5","-7.6","323.6","36.6","","1011348"
"J.R. Richard","26.8","5.2","-10.7","-5.5","280.9","32.3","","1010913"
"Larry Dierker","35.0","4.2","-1.1","3.1","276.8","31.9","","1003288"
"Shane Reynolds","22.9","-8.5","1.0","-7.4","296.5","30.3","$1.0","574"
"Don Wilson","27.8","6.9","-5.7","1.2","227.1","26.6","","1014071"
"Mike Scott","27.0","8.4","-7.5","0.9","232.6","26.1","","1011691"
"Joe Niekro","27.8","10.9","-3.3","7.6","184.2","20.2","","1009582"
"Wandy Rodriguez","14.1","-1.1","-3.6","-4.7","181.6","18.8","$115.0","2586"
"Dallas Keuchel","20.6","1.5","1.1","2.5","167.8","18.0","$142.7","9434"
"Mike Hampton","17.4","-0.5","2.1","1.6","158.1","15.7","$5.3","430"
"Roger Clemens","19.6","4.2","0.3","4.5","143.1","15.2","$68.8","815"
"Turk Farrell","13.2","1.6","-3.6","-1.9","133.3","15.2","","1003950"
"Bob Knepper","13.2","-1.2","-0.2","-1.5","133.2","14.7","","1007031"
"Ken Forsch","15.3","0.7","-0.1","0.6","130.2","14.7","","1004234"
"Mike Cuellar","10.7","-0.9","-2.8","-3.8","118.0","14.5","","1002853"
"Darryl Kile","14.0","-1.2","0.9","-0.3","140.4","14.3","","1163"
"Justin Verlander","18.4","5.2","-0.8","4.4","130.9","14.0","$112.2","8700"
"Gerrit Cole","13.4","1.2","-1.2","0.0","123.9","13.4","$107.1","13125"
"Bob Bruce","7.7","-4.0","-1.6","-5.6","115.6","13.3","","1001573"
"Wade Miller","14.5","2.1","0.3","2.4","119.5","12.1","$32.3","568"
"Ken Johnson","7.0","-0.9","-4.2","-5.1","105.9","12.1","","1006477"
"Doug Drabek","9.1","-2.1","-0.1","-2.2","110.8","11.3","","1003473"
"Andy Pettitte","12.0","0.2","0.8","1.0","106.3","11.0","$51.1","840"
"Lance McCullers Jr.","8.2","-1.8","-0.7","-2.5","102.0","10.7","$85.7","14120"
"Collin McHugh","9.7","-1.1","0.2","-0.9","98.9","10.6","$83.2","7531"
"Dave Roberts","8.3","-3.7","2.0","-1.7","90.7","10.0","","1011031"
"Dave Giusti","3.4","-2.1","-4.1","-6.2","80.2","9.6","","1004748"
"Pete Harnisch","11.8","4.3","-1.8","2.5","86.4","9.3","","1005374"
"Mark Portugal","13.0","1.8","2.6","4.3","81.7","8.7","","1010460"
"Don Sutton","6.6","1.5","-3.0","-1.5","68.0","8.1","","1012745"
"Chris Holt","5.8","-3.3","1.3","-2.0","81.7","7.9","","1005983"
"Jack Billingham","3.7","-0.9","-3.2","-4.1","68.4","7.8","","1000970"
"Bud Norris","3.7","-1.8","-2.0","-3.8","70.8","7.5","$51.5","9492"
"Jose Lima","7.9","-0.2","0.8","0.6","73.9","7.3","","475"
"Denny Lemaster","8.2","-1.9","2.8","1.0","61.4","7.2","","1007512"
"Danny Darwin","8.1","1.0","0.0","1.0","65.5","7.1","","1002996"
"Jim Deshaies","14.1","6.1","1.0","7.1","65.1","6.9","","1003228"
"Jerry Reuss","3.4","-2.0","-1.5","-3.4","60.9","6.9","","1010853"
"Don Nottebart","1.5","-0.6","-4.4","-5.0","55.8","6.5","","1009651"
"Vern Ruhle","6.2","1.9","-1.7","0.1","54.6","6.1","","1011297"
"Charlie Morton","6.6","0.4","0.2","0.6","58.1","6.0","$48.0","4676"
"Joaquin Andujar","5.9","3.3","-3.2","0.1","54.5","5.8","","1000266"
"Brett Myers","5.4","0.3","-0.5","-0.2","52.0","5.6","$36.0","962"
"Tom Griffin","2.9","-1.2","-0.9","-2.2","46.6","5.1","","1005054"
"Greg Swindell","2.3","-2.8","0.6","-2.1","44.4","4.4","","76"
"Brad Peacock","4.4","1.0","-0.9","0.1","41.7","4.3","$34.1","5401"
"Tim Redding","2.1","-1.4","-0.5","-1.9","40.2","4.0","$16.6","573"
"Wade Blasingame","-0.8","-2.9","-1.8","-4.7","34.2","3.9","","1001057"
