"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Christy Mathewson","110.4","6.5","13.7","20.2","782.5","90.1","","1008235"
"Juan Marichal","71.7","15.5","-4.4","11.2","512.9","60.6","","1008106"
"Carl Hubbell","86.8","20.3","10.0","30.3","559.4","56.5","","1006123"
"Amos Rusie","75.2","22.9","7.7","30.6","543.7","44.6","","1011308"
"Gaylord Perry","41.3","4.8","-5.3","-0.5","352.6","41.8","","1010210"
"Tim Keefe","48.7","10.7","4.6","15.3","374.7","33.3","","1006743"
"Mickey Welch","65.2","15.6","16.9","32.5","382.4","32.7","","1013757"
"Madison Bumgarner","34.6","5.0","-1.5","3.4","288.5","31.2","$236.9","5524"
"Red Ames","24.1","-2.8","-4.0","-6.8","269.8","30.9","","1000210"
"Tim Lincecum","24.7","-0.7","-3.1","-3.7","261.7","28.4","$182.9","5705"
"Matt Cain","33.0","12.6","-7.8","4.8","270.5","28.3","$174.9","4732"
"Larry Jansen","29.4","2.6","-0.1","2.5","260.1","27.0","","1006358"
"Hooks Wiltse","31.9","0.9","4.6","5.5","230.9","26.4","","1014116"
"Jason Schmidt","25.2","4.7","-5.6","-0.9","247.9","26.1","$105.2","1131"
"Joe McGinnity","41.2","6.7","8.9","15.6","229.1","25.6","","1008527"
"Johnny Antonelli","33.3","7.2","2.7","9.9","221.6","23.4","","1000277"
"Freddie Fitzsimmons","37.9","13.4","1.4","14.8","238.8","23.0","","1004122"
"Hal Schumacher","42.5","11.9","7.6","19.5","228.3","23.0","","1011648"
"Rube Marquard","21.5","-2.1","1.3","-0.8","205.5","22.3","","1008125"
"Cliff Melton","18.3","0.4","-2.7","-2.2","196.0","20.5","","1008755"
"Sal Maglie","29.4","3.0","7.3","10.2","184.8","19.2","","1007968"
"Dave Koslo","20.6","2.0","-0.5","1.5","182.9","19.1","","1007118"
"Jim Barr","23.1","-0.1","4.6","4.6","169.4","18.6","","1000606"
"John Montefusco","16.1","-2.9","0.5","-2.4","162.8","18.4","","1009065"
"Dummy Taylor","19.6","-0.5","2.2","1.7","165.2","17.9","","1012867"
"Jeff Tesreau","29.1","9.4","2.0","11.4","155.7","17.6","","1012936"
"Ed Halicki","11.5","1.5","-6.2","-4.7","144.5","16.2","","1005228"
"Jouett Meekin","26.6","6.4","4.0","10.4","208.4","16.2","","1008724"
"Jack Sanford","17.5","6.3","-4.4","2.0","143.2","15.5","","1011432"
"Billy O'Dell","12.2","-2.7","0.1","-2.6","134.5","14.8","","1009724"
"John Burkett","10.2","-2.4","-2.0","-4.3","135.6","14.5","","179"
"Shawn Estes","11.7","-1.3","-1.3","-2.6","146.0","14.4","","873"
"Art Nehf","22.0","7.2","0.9","8.2","137.8","13.9","","1009485"
"Mike McCormick","20.6","6.9","0.1","7.0","121.9","13.6","","1008420"
"Jesse Barnes","19.1","5.3","0.8","6.0","123.1","13.1","","1000566"
"Mike Krukow","9.0","-0.1","-3.9","-4.0","119.2","13.0","","1007185"
"Ruben Gomez","16.6","3.7","0.1","3.9","125.5","12.8","","1004827"
"Jim Hearn","15.4","6.0","-3.4","2.6","125.5","12.7","","1005556"
"Atlee Hammaker","10.6","1.7","-3.5","-1.8","110.9","12.4","","1005281"
"Vida Blue","14.9","3.0","0.5","3.6","100.5","11.3","","1001094"
"Livan Hernandez","6.8","-3.4","-0.6","-4.1","111.0","10.9","$10.7","1116"
"Bill Lohrman","9.7","-0.9","-0.3","-1.1","103.9","10.8","","1007709"
"Kirk Rueter","16.5","3.5","2.3","5.7","110.0","10.7","$10.9","1128"
"Virgil Barnes","15.5","1.9","2.9","4.8","108.5","10.7","","1000576"
"Russ Ortiz","11.7","2.7","-1.7","1.1","108.1","10.7","$12.9","1124"
"Sam Jones","9.0","0.2","-1.7","-1.5","96.6","10.4","","1006590"
"Dad Clarke","7.3","-0.8","-1.4","-2.2","120.8","9.5","","1002273"
"Rube Benton","12.6","2.8","0.3","3.1","82.1","9.5","","1000857"
"Bobby Bolin","13.9","6.3","-1.7","4.6","80.4","9.4","","1001146"
"Larry Benton","14.2","2.1","2.9","4.9","94.8","9.3","","1000855"
"Kelly Downs","7.3","0.7","-2.7","-2.0","84.2","9.2","","1003453"
"Harry Gumbert","10.1","3.3","-2.3","1.0","92.9","9.2","","1005141"
"Bill Walker","17.1","5.5","2.6","8.1","95.6","9.0","","1013508"
"Bob Knepper","9.7","-1.0","1.7","0.8","80.7","9.0","","1007031"
"Rick Reuschel","9.7","0.1","1.0","1.1","76.9","8.6","","1010852"
"Ray Sadecki","5.0","-1.5","-2.0","-3.5","67.2","8.5","","1011360"
"Mike LaCoss","4.4","-0.4","-3.7","-4.0","78.4","8.5","","1007240"
"Jack Scott","11.6","3.1","0.4","3.5","84.2","8.2","","1011683"
"Bill Swift","12.5","3.2","1.2","4.4","76.4","8.2","","1012788"
"Noah Lowry","9.6","1.8","0.2","2.0","76.3","7.6","$36.1","1833"
"Ron Bryant","6.3","1.6","-2.8","-1.2","68.0","7.5","","1001608"
"Pol Perritt","11.5","-1.0","5.0","4.0","62.5","7.5","","1010206"
"Fred Toney","17.9","6.1","4.4","10.4","69.1","7.5","","1013116"
"Bill Voiselle","8.2","2.3","-1.6","0.7","70.0","7.4","","1013448"
"Jonathan Sanchez","5.4","1.6","-3.4","-1.8","70.5","7.2","$44.7","7507"
"Al Demaree","8.8","0.4","1.4","1.8","61.9","7.0","","1003187"
"Doc Crandall","7.7","-1.1","1.9","0.8","64.6","7.0","","1002730"
"Jeff Samardzija","7.7","3.2","-2.4","0.8","66.5","6.8","$54.5","3254"
