"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Warren Spahn","108.8","23.8","10.7","34.5","703.3","74.3","","1012299"
"Greg Maddux","84.0","11.3","-0.1","11.1","674.4","72.9","$30.9","104"
"Kid Nichols","118.7","25.4","20.5","45.9","843.0","72.8","","1009564"
"Phil Niekro","84.2","13.0","-1.1","11.8","631.0","72.4","","1009583"
"John Smoltz","70.9","4.8","-3.5","1.3","649.3","69.6","$86.8","115"
"Tom Glavine","71.9","8.9","8.3","17.2","521.6","54.7","$7.4","90"
"Jim Whitney","32.9","0.3","1.0","1.3","345.8","31.5","","1013908"
"Vic Willis","45.9","8.3","6.8","15.0","304.3","30.9","","1014042"
"Dick Rudolph","29.3","-2.8","1.6","-1.2","255.2","30.5","","1011284"
"John Clarkson","48.4","7.1","12.9","20.0","326.0","28.4","","1002293"
"Al Spalding","62.1","12.4","24.4","36.7","384.5","25.4","","1012300"
"Lew Burdette","33.3","5.6","2.3","8.0","242.7","25.3","","1001662"
"Johnny Sain","24.3","-0.4","1.9","1.5","216.8","22.8","","1011373"
"Tommy Bond","43.1","1.6","18.9","20.5","245.3","22.6","","1001158"
"Ron Reed","15.9","-0.8","-5.8","-6.6","194.1","22.5","","1010773"
"Steve Avery","18.6","1.3","-2.8","-1.5","188.8","20.1","","1706"
"Jack Stivetts","26.1","7.4","-1.1","6.3","249.2","19.9","","1012547"
"Charlie Buffinton","25.3","-2.4","8.1","5.6","221.6","19.7","","1001634"
"Tim Hudson","28.7","6.5","2.6","9.1","191.5","19.6","$118.6","921"
"Kevin Millwood","19.1","4.0","-4.2","-0.2","191.7","19.3","$18.0","106"
"Rick Mahler","13.2","-5.6","1.7","-3.9","154.3","17.0","","1007988"
"Pat Jarvis","17.2","4.6","-4.3","0.2","145.0","17.0","","1006363"
"Lefty Tyler","16.9","2.4","-2.1","0.4","147.0","16.5","","1013252"
"Carl Morton","15.5","-2.6","2.4","-0.1","139.6","15.6","","1009230"
"Irv Young","6.8","-5.0","-2.4","-7.4","121.8","14.2","","1014380"
"Julio Teheran","22.8","8.5","0.4","8.9","131.1","13.8","$107.5","6797"
"Charley Radbourn","15.3","1.1","1.5","2.5","152.0","12.7","","1010631"
"Al Javery","8.5","-2.6","-1.4","-4.1","113.2","12.6","","1006369"
"Jesse Barnes","13.4","2.6","-1.7","0.8","117.2","12.5","","1000566"
"Ed Brandt","21.0","4.7","3.8","8.5","126.9","12.5","","1001348"
"Harry Staley","15.3","-0.2","3.0","2.8","151.2","12.5","","1012389"
"Zane Smith","7.0","-3.2","-1.9","-5.1","111.8","12.1","","1012218"
"Jim Tobin","17.8","5.4","0.3","5.7","113.8","12.1","","1013089"
"Togie Pittinger","16.1","-0.1","4.6","4.5","112.9","11.6","","1010376"
"Danny MacFayden","16.1","1.4","3.3","4.7","115.5","11.4","","1007904"
"Bob Smith","16.0","1.6","3.3","4.9","117.2","11.1","","1012100"
"Charlie Leibrandt","8.8","0.5","-2.1","-1.6","92.8","10.4","","1007492"
"Vern Bickford","14.0","1.6","2.1","3.7","101.2","10.3","","1000947"
"Denny Lemaster","12.5","1.2","1.2","2.4","90.5","10.2","","1007512"
"Art Nehf","10.7","1.7","-0.9","0.8","81.7","9.9","","1009485"
"Ted Lewis","21.2","8.1","3.3","11.4","111.3","9.9","","1007589"
"Red Barrett","8.8","3.0","-3.9","-0.9","90.5","9.7","","1000600"
"Bob Buhl","25.1","8.1","7.4","15.5","94.7","9.6","","1001637"
"Tom Zachary","11.8","-0.9","3.9","3.0","91.2","8.9","","1014405"
"Hub Perdue","2.4","-3.6","-2.8","-6.4","82.9","8.8","","1010178"
"Tony Cloninger","8.0","1.7","-2.2","-0.5","75.9","8.5","","1002359"
"Al Mattern","2.8","-3.2","-2.3","-5.6","75.0","8.4","","1008249"
"Denny Neagle","10.1","2.5","-0.7","1.8","80.9","8.4","","441"
"Ben Cantwell","11.5","6.8","-3.6","3.2","86.9","8.3","","1001921"
"Bill Dineen","12.7","3.6","0.8","4.4","86.8","8.3","","1003317"
"Jair Jurrjens","11.0","1.3","1.5","2.8","79.1","8.1","$52.2","5556"
"Charlie Getzein","6.4","-0.8","-0.9","-1.7","91.9","8.1","","1004649"
"Ken Johnson","10.8","1.6","1.2","2.8","70.1","8.0","","1006477"
"Pascual Perez","6.0","-2.1","0.3","-1.8","70.4","7.8","","1010185"
"Tom Hughes","10.0","2.8","-0.6","2.3","64.3","7.8","","1006164"
"Joe Genewich","5.8","-1.4","-0.6","-2.0","79.0","7.7","","1004609"
"Pat Ragan","8.5","0.2","0.6","0.8","63.9","7.7","","1010650"
"John Burkett","7.2","-1.0","0.6","-0.4","75.8","7.6","","179"
"Nate Andrews","11.4","1.9","1.9","3.7","69.2","7.6","","1000259"
"Tommy Hanson","8.6","0.9","0.1","1.1","70.8","7.5","$48.1","9129"
"Mike Foltynewicz","7.7","0.6","-0.4","0.2","70.6","7.4","$59.4","10811"
"Dana Fillingim","6.5","-0.3","-0.5","-0.8","68.9","7.3","","1004045"
"George Stone","5.5","-1.8","0.1","-1.7","63.6","7.1","","1012565"
"Dick Ruthven","4.6","-1.7","-0.8","-2.5","63.4","7.0","","1011330"
"Gene Conley","7.0","-1.1","1.2","0.1","67.3","6.9","","1002507"
"Johnny Cooney","8.0","3.3","-2.1","1.3","69.6","6.8","","1002588"
"Buster Brown","5.0","1.4","-3.1","-1.7","63.4","6.7","","1001499"
"Doyle Alexander","4.9","0.4","-2.0","-1.5","58.9","6.5","","1000122"
"Max Surkont","6.9","0.9","-0.4","0.5","62.5","6.4","","1012729"
"Pete Smith","5.1","-0.8","-0.3","-1.1","55.7","6.2","","1012191"
"Alex Wood","7.2","-1.4","2.4","1.1","54.9","6.1","$47.3","13781"
"Huck Betts","9.7","1.7","1.8","3.6","61.7","6.1","","1000933"
"Mike Minor","5.3","-0.3","-0.5","-0.8","55.8","6.1","$43.9","10021"
"Bill James","11.3","1.6","3.8","5.4","52.8","5.9","","1006344"
"Kris Medlen","8.5","0.6","2.0","2.6","53.4","5.9","$40.7","9417"
"Javier Vazquez","5.7","0.6","-0.8","-0.2","54.4","5.9","$37.8","801"
"Jack Scott","3.9","-2.0","0.1","-1.9","54.8","5.8","","1011683"
"Mike Hampton","7.0","0.0","1.3","1.3","57.3","5.7","$25.0","430"
"Otto Hess","3.8","-0.8","-1.0","-1.8","54.0","5.6","","1005749"
"Vive Lindaman","1.9","-2.6","-1.1","-3.7","47.6","5.6","","1007612"
"John Thomson","3.9","-1.7","0.0","-1.6","54.9","5.5","$24.4","453"
"Fred Klobedanz","9.5","3.4","0.6","4.0","65.1","5.5","","1007014"
"Hugh McQuillan","1.1","-1.8","-2.5","-4.3","54.2","5.4","","1008685"
"Lou Fette","12.3","5.1","1.8","6.9","54.5","5.4","","1004018"
"Derek Lowe","2.0","-4.1","0.7","-3.3","51.9","5.3","$35.2","199"
"Tommy Boggs","3.3","-0.3","-1.7","-2.0","47.3","5.3","","1001123"
"Fred Frankhouse","7.6","1.1","1.2","2.3","53.6","5.3","","1004297"
"Jim Sullivan","6.4","0.6","0.6","1.2","66.6","5.3","","1012695"
"Max Fried","5.7","-1.8","2.3","0.5","51.1","5.2","$41.5","13743"
"Socks Seibold","5.7","1.4","-0.9","0.6","57.8","5.2","","1011728"
"Jim Turner","11.2","5.1","1.0","6.1","52.4","5.1","","1013229"
"Mort Cooper","5.0","0.9","-1.0","-0.1","46.6","5.1","","1002598"
"Joe Oeschger","6.8","-1.1","2.8","1.7","51.4","5.1","","1009738"
"George Ferguson","2.6","-1.9","-0.6","-2.4","42.6","5.1","","1003989"
"Johnny Antonelli","1.8","-2.4","-0.9","-3.3","50.3","5.1","","1000277"
"Bob Shaw","9.1","0.2","3.9","4.0","46.2","5.1","","1011819"
"Andy Messersmith","5.1","1.7","-1.6","0.1","44.7","5.0","","1008799"
"David Palmer","3.6","-0.7","-0.6","-1.3","46.4","4.9","","1009970"
"Mike Soroka","6.5","0.3","1.3","1.6","47.4","4.9","$39.0","18383"
"Bill Sowders","4.1","0.4","-1.1","-0.7","49.4","4.8","","1012295"
"Sam Frock","1.2","-1.3","-2.3","-3.6","42.2","4.8","","1004372"
"Larry Benton","8.0","1.0","2.3","3.3","48.0","4.7","","1000855"
"Bob Hendley","4.9","1.5","-1.1","0.3","43.0","4.6","","1005637"
"Russ Ortiz","6.7","2.7","-0.6","2.1","46.5","4.6","$19.5","1124"
"Bob Rush","4.1","-0.3","-0.1","-0.4","42.3","4.5","","1011307"
"Kid Madden","7.9","3.2","0.3","3.4","53.4","4.5","","1007942"
"Jaret Wright","4.0","0.0","-0.4","-0.4","43.4","4.5","$18.7","415"
"Mule Watson","1.7","0.2","-2.9","-2.7","44.7","4.4","","1013682"
"Kent Mercker","5.8","1.7","-0.4","1.3","43.0","4.4","","439"
"Manny Salvo","5.7","1.5","-0.1","1.4","41.0","4.3","","1011391"
"Rube Marquard","0.9","-2.5","-0.9","-3.4","44.0","4.3","","1008125"
"Bill Voiselle","6.6","-1.0","3.3","2.3","42.4","4.3","","1013448"
"Buzz Capra","6.9","2.3","0.4","2.6","37.5","4.3","","1001928"
"Eddie Solomon","2.2","0.0","-2.1","-2.0","39.4","4.2","","1012268"
"Bobby Mathews","3.8","-0.3","-0.1","-0.4","45.2","4.2","","1008234"
"Brandon Beachy","3.8","1.4","-1.7","-0.3","38.0","4.1","$29.4","8851"
"Jim Wilson","4.1","-0.8","0.9","0.1","39.6","4.1","","1014089"
"Big Jeff Pfeffer","2.0","-0.8","-1.2","-2.0","34.7","4.0","","1010262"
"Bill Stemmeyer","1.2","0.8","-3.4","-2.7","46.5","3.9","","1012480"
"Craig McMurtry","5.5","0.5","1.2","1.8","34.9","3.8","","1008651"
"Gus Dorner","-2.6","0.5","-6.9","-6.4","32.9","3.8","","1003414"
"Walt Dickson","0.2","-1.0","-2.5","-3.5","36.4","3.8","","1003283"
"Rick Camp","6.5","0.4","2.4","2.8","33.9","3.7","","1001901"
"Shelby Miller","4.1","0.8","-0.4","0.4","33.6","3.7","$29.5","10197"
"Len Barker","1.5","-0.5","-1.6","-2.2","32.0","3.6","","1000546"
"Chet Nichols","3.5","-0.1","0.0","-0.1","34.4","3.6","","1009557"
"Milt Shoffner","4.8","0.7","0.6","1.3","34.6","3.5","","1011920"
"Milt Pappas","4.2","-0.4","1.3","0.8","28.8","3.4","","1009989"
"Larry McWilliams","3.0","0.8","-1.3","-0.4","30.7","3.4","","1008700"
"Bill Posedel","3.2","-1.4","1.2","-0.2","34.2","3.4","","1010462"
"Rick Matula","1.9","-1.0","-0.5","-1.5","31.6","3.4","","1008268"
"Ray Crone","1.5","0.4","-2.2","-1.8","31.9","3.3","","1002791"
"Horacio Ramirez","6.7","2.5","0.9","3.4","33.9","3.3","$14.7","110"
"Roric Harrison","2.2","-0.6","-0.5","-1.0","30.1","3.2","","1005430"
"Curry Foley","-0.8","-1.6","-2.3","-4.0","34.1","3.2","","1004195"
"Ervin Santana","2.1","-1.2","0.1","-1.0","28.4","3.2","$24.3","3200"
"Jim Nash","2.3","-2.0","1.2","-0.8","29.4","3.1","","1009458"
